condition,split,writer,reader,learned_accuracy,oracle_accuracy,zero_memory_accuracy
state_supervised,test,0,0,0.9980,0.9980,0.1540
state_supervised,test,0,1,0.9790,0.9790,0.1650
state_supervised,test,0,2,0.9790,0.9800,0.1710
state_supervised,test,0,3,0.9710,0.9740,0.1480
state_supervised,test,1,0,0.9970,0.9980,0.1540
state_supervised,test,1,1,0.9780,0.9790,0.1650
state_supervised,test,1,2,0.9800,0.9800,0.1710
state_supervised,test,1,3,0.9720,0.9740,0.1480
state_supervised,test,2,0,0.9970,0.9980,0.1540
state_supervised,test,2,1,0.9820,0.9790,0.1650
state_supervised,test,2,2,0.9800,0.9800,0.1710
state_supervised,test,2,3,0.9720,0.9740,0.1480
answer_only,development,0,0,0.2190,0.9950,0.1590
answer_only,development,1,1,0.3650,0.9890,0.1490
answer_only,development,2,2,0.4410,0.9790,0.1540
answer_only,development,3,3,0.1480,0.9810,0.1640
answer_only,development,4,0,0.3920,0.9950,0.1590
answer_only,development,5,1,0.4030,0.9890,0.1490
answer_only,development,6,2,0.1720,0.9790,0.1540
answer_only,development,7,3,0.3870,0.9810,0.1640
answer_only,development,8,0,0.1590,0.9950,0.1590
answer_only,development,9,1,0.2510,0.9890,0.1490
answer_only,development,10,2,0.4050,0.9790,0.1540
answer_only,development,11,3,0.1450,0.9810,0.1640
fixed_supervised_keys,development,0,0,0.9940,0.9950,0.1590
fixed_answer_only_keys,development,1,0,0.4090,0.9950,0.1590
fixed_supervised_keys,development,2,1,0.9940,0.9890,0.1490
fixed_answer_only_keys,development,3,1,0.3490,0.9890,0.1490
fixed_supervised_keys,development,4,2,0.2270,0.9790,0.1540
fixed_answer_only_keys,development,5,2,0.4660,0.9790,0.1540
fixed_supervised_keys,development,6,3,0.9880,0.9810,0.1640
fixed_answer_only_keys,development,7,3,0.1700,0.9810,0.1640
fixed_supervised_keys,development,8,0,0.9950,0.9950,0.1590
fixed_answer_only_keys,development,9,0,0.3960,0.9950,0.1590
fixed_supervised_keys,development,10,1,0.1790,0.9890,0.1490
fixed_answer_only_keys,development,11,1,0.4260,0.9890,0.1490
fixed_supervised_keys,development,12,2,0.1610,0.9790,0.1540
fixed_answer_only_keys,development,13,2,0.1780,0.9790,0.1540
fixed_supervised_keys,development,14,3,0.9870,0.9810,0.1640
fixed_answer_only_keys,development,15,3,0.4210,0.9810,0.1640
fixed_supervised_keys,development,16,0,0.1680,0.9950,0.1590
fixed_answer_only_keys,development,17,0,0.1590,0.9950,0.1590
fixed_supervised_keys,development,18,1,0.9170,0.9890,0.1490
fixed_answer_only_keys,development,19,1,0.4720,0.9890,0.1490
fixed_supervised_keys,development,20,2,0.1760,0.9790,0.1540
fixed_answer_only_keys,development,21,2,0.1960,0.9790,0.1540
fixed_supervised_keys,development,22,3,0.2940,0.9810,0.1640
fixed_answer_only_keys,development,23,3,0.1740,0.9810,0.1640
